name,confidence,xmin,ymin,xmax,ymax
person,0.8965448141098022,1062.419677734375,256.87493896484375,1280.0,715.7975463867188
person,0.761606752872467,3.5858306884765625,14.81640625,235.48997497558594,715.393310546875
person,0.7538172602653503,1189.62890625,24.72967529296875,1261.440673828125,216.1602783203125
person,0.683495044708252,923.3197631835938,35.26971435546875,972.8732299804688,145.3988037109375
person,0.619476318359375,1013.9047241210938,33.3704833984375,1077.065185546875,195.64422607421875
person,0.551681399345398,796.9122314453125,533.1617431640625,849.973876953125,685.9185791015625
person,0.549595057964325,513.2483520507812,57.427284240722656,566.1884155273438,183.21731567382812
person,0.4593034088611603,392.04290771484375,67.6683120727539,453.8634033203125,189.9630126953125
person,0.4348534643650055,350.2532653808594,70.1456069946289,377.1412658691406,153.96151733398438
person,0.2907007038593292,1058.00048828125,29.21804428100586,1095.526611328125,142.61607360839844
person,0.26416242122650146,862.9506225585938,544.9097900390625,905.2269897460938,640.74658203125
